time (s),leafValue( VT("/A0") "Design_Point" 1 ) (V),leafValue( VT("/A1") "Design_Point" 1 ) (V),leafValue( VT("/B0") "Design_Point" 1 ) (V),leafValue( VT("/B1") "Design_Point" 1 ) (V),leafValue( VT("/O0") "Design_Point" 1 ) (V),leafValue( VT("/O1") "Design_Point" 1 ) (V),leafValue( VT("/O2") "Design_Point" 1 ) (V),leafValue( VT("/O3") "Design_Point" 1 ) (V),leafValue( VT("/V01") "Design_Point" 1 ) (V),leafValue( VT("/V2") "Design_Point" 1 ) (V),leafValue( VT("/V3") "Design_Point" 1 ) (V)
0.000,0.000,0.000,0.000,0.000,420.6E-9,420.2E-9,418.8E-9,133.1E-9,1.200,1.200,50.06E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.098E-6,4.971E-6,4.447E-6,2.775E-6,1.200,1.200,2.200E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.458E-6,8.146E-6,7.078E-6,4.707E-6,1.200,1.200,3.820E-6
35.76E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.37E-6,11.84E-6,10.09E-6,6.956E-6,1.200,1.200,5.682E-6
49.18E-12,295.1E-3,295.1E-3,295.1E-3,295.1E-3,15.56E-6,14.87E-6,12.55E-6,8.839E-6,1.200,1.200,7.242E-6
63.00E-12,378.0E-3,378.0E-3,378.0E-3,378.0E-3,18.50E-6,17.65E-6,14.85E-6,10.67E-6,1.200,1.200,8.723E-6
74.68E-12,448.1E-3,448.1E-3,448.1E-3,448.1E-3,21.25E-6,20.29E-6,17.11E-6,12.52E-6,1.200,1.200,10.11E-6
83.85E-12,503.1E-3,503.1E-3,503.1E-3,503.1E-3,24.00E-6,22.96E-6,19.49E-6,14.60E-6,1.200,1.200,11.56E-6
93.77E-12,562.6E-3,562.6E-3,562.6E-3,562.6E-3,28.55E-6,27.41E-6,23.64E-6,18.32E-6,1.200,1.200,14.01E-6
101.5E-12,608.8E-3,608.8E-3,608.8E-3,608.8E-3,34.12E-6,32.90E-6,28.85E-6,23.08E-6,1.200,1.200,17.07E-6
109.1E-12,654.4E-3,654.4E-3,654.4E-3,654.4E-3,42.85E-6,41.51E-6,37.09E-6,30.53E-6,1.200,1.200,21.85E-6
