time (s),leafValue( VT("/A0") "Design_Point" 1 ) (V),leafValue( VT("/A1") "Design_Point" 1 ) (V),leafValue( VT("/B0") "Design_Point" 1 ) (V),leafValue( VT("/B1") "Design_Point" 1 ) (V),leafValue( VT("/O0") "Design_Point" 1 ) (V),leafValue( VT("/O1") "Design_Point" 1 ) (V),leafValue( VT("/O2") "Design_Point" 1 ) (V),leafValue( VT("/O3") "Design_Point" 1 ) (V),leafValue( VT("/V01") "Design_Point" 1 ) (V),leafValue( VT("/V2") "Design_Point" 1 ) (V),leafValue( VT("/V3") "Design_Point" 1 ) (V)
0.000,0.000,0.000,0.000,0.000,422.2E-9,421.7E-9,420.0E-9,133.9E-9,1.200,1.200,51.28E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.102E-6,4.974E-6,4.444E-6,2.771E-6,1.200,1.200,2.202E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.466E-6,8.152E-6,7.075E-6,4.697E-6,1.200,1.200,3.824E-6
35.75E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.38E-6,11.85E-6,10.09E-6,6.935E-6,1.200,1.200,5.689E-6
49.17E-12,295.0E-3,295.0E-3,295.0E-3,295.0E-3,15.58E-6,14.88E-6,12.54E-6,8.809E-6,1.200,1.200,7.252E-6
63.00E-12,378.0E-3,378.0E-3,378.0E-3,378.0E-3,18.52E-6,17.67E-6,14.84E-6,10.63E-6,1.200,1.200,8.737E-6
74.68E-12,448.1E-3,448.1E-3,448.1E-3,448.1E-3,21.27E-6,20.30E-6,17.09E-6,12.47E-6,1.200,1.200,10.13E-6
83.85E-12,503.1E-3,503.1E-3,503.1E-3,503.1E-3,24.01E-6,22.96E-6,19.47E-6,14.52E-6,1.200,1.200,11.57E-6
93.77E-12,562.6E-3,562.6E-3,562.6E-3,562.6E-3,28.54E-6,27.39E-6,23.59E-6,18.22E-6,1.200,1.200,14.01E-6
101.5E-12,608.8E-3,608.8E-3,608.8E-3,608.8E-3,34.08E-6,32.85E-6,28.78E-6,22.94E-6,1.200,1.200,17.06E-6
109.1E-12,654.4E-3,654.4E-3,654.4E-3,654.4E-3,42.78E-6,41.42E-6,36.97E-6,30.34E-6,1.200,1.200,21.82E-6
114.6E-12,687.9E-3,687.9E-3,687.9E-3,687.9E-3,51.93E-6,50.44E-6,45.56E-6,38.06E-6,1.200,1.200,26.83E-6
118.9E-12,713.6E-3,713.6E-3,713.6E-3,713.6E-3,60.70E-6,59.08E-6,53.76E-6,45.46E-6,1.200,1.200,31.67E-6
