time (s),A0 (V),A1 (V),B0 (V),B1 (V),O0 (V),O1 (V),O2 (V),O3 (V),V01 (V),V2 (V),V3 (V)
0.000,0.000,0.000,0.000,0.000,423.5E-9,422.9E-9,420.8E-9,134.5E-9,51.79E-9,52.26E-9,52.55E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.012E-6,4.888E-6,4.371E-6,2.728E-6,2.069E-6,2.167E-6,2.234E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.297E-6,7.992E-6,6.946E-6,4.619E-6,3.561E-6,3.756E-6,3.881E-6
35.75E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.11E-6,11.60E-6,9.888E-6,6.814E-6,5.277E-6,5.579E-6,5.774E-6
49.17E-12,295.0E-3,295.0E-3,295.0E-3,295.0E-3,15.23E-6,14.55E-6,12.29E-6,8.656E-6,6.724E-6,7.108E-6,7.363E-6
63.00E-12,378.0E-3,378.0E-3,378.0E-3,378.0E-3,18.12E-6,17.30E-6,14.57E-6,10.48E-6,8.142E-6,8.605E-6,8.920E-6
74.68E-12,448.1E-3,448.1E-3,448.1E-3,448.1E-3,20.92E-6,19.99E-6,16.88E-6,12.39E-6,9.574E-6,10.12E-6,10.49E-6
83.85E-12,503.1E-3,503.1E-3,503.1E-3,503.1E-3,23.81E-6,22.79E-6,19.42E-6,14.61E-6,11.19E-6,11.81E-6,12.24E-6
93.77E-12,562.6E-3,562.6E-3,562.6E-3,562.6E-3,28.67E-6,27.56E-6,23.89E-6,18.68E-6,14.05E-6,14.80E-6,15.33E-6
101.5E-12,608.8E-3,608.8E-3,608.8E-3,608.8E-3,34.62E-6,33.43E-6,29.51E-6,23.89E-6,17.60E-6,18.54E-6,19.19E-6
109.1E-12,654.4E-3,654.4E-3,654.4E-3,654.4E-3,43.87E-6,42.57E-6,38.32E-6,31.98E-6,23.00E-6,24.27E-6,25.09E-6
114.7E-12,687.9E-3,687.9E-3,687.9E-3,687.9E-3,53.52E-6,52.11E-6,47.49E-6,40.38E-6,28.59E-6,30.19E-6,31.20E-6
118.9E-12,713.5E-3,713.5E-3,713.5E-3,713.5E-3,62.70E-6,61.18E-6,56.18E-6,48.38E-6,33.92E-6,35.82E-6,37.02E-6
124.6E-12,747.6E-3,747.6E-3,747.6E-3,747.6E-3,77.37E-6,75.67E-6,70.05E-6,61.25E-6,42.50E-6,44.84E-6,46.32E-6
128.7E-12,772.4E-3,772.4E-3,772.4E-3,772.4E-3,89.85E-6,87.99E-6,81.85E-6,72.25E-6,49.81E-6,52.50E-6,54.23E-6
134.3E-12,806.0E-3,806.0E-3,806.0E-3,806.0E-3,109.2E-6,107.1E-6,100.1E-6,89.33E-6,61.14E-6,64.36E-6,66.46E-6
138.5E-12,830.8E-3,830.8E-3,830.8E-3,830.8E-3,125.0E-6,122.6E-6,115.0E-6,103.3E-6,70.46E-6,74.10E-6,76.50E-6
142.5E-12,854.8E-3,854.8E-3,854.8E-3,854.8E-3,141.1E-6,138.6E-6,130.3E-6,117.8E-6,80.26E-6,84.20E-6,86.90E-6
145.8E-12,874.6E-3,874.6E-3,874.6E-3,874.6E-3,154.8E-6,152.1E-6,143.1E-6,130.0E-6,89.19E-6,92.87E-6,95.81E-6
150.2E-12,901.1E-3,901.1E-3,901.1E-3,901.1E-3,173.3E-6,170.3E-6,160.5E-6,146.7E-6,104.4E-6,104.9E-6,108.2E-6
154.1E-12,924.6E-3,924.6E-3,924.6E-3,924.6E-3,189.7E-6,186.4E-6,175.7E-6,161.4E-6,125.2E-6,116.0E-6,119.6E-6
157.6E-12,945.9E-3,945.9E-3,945.9E-3,945.9E-3,204.1E-6,200.5E-6,189.0E-6,174.1E-6,151.7E-6,126.3E-6,130.3E-6
161.2E-12,967.4E-3,967.4E-3,967.4E-3,967.4E-3,218.4E-6,214.6E-6,202.1E-6,186.6E-6,184.9E-6,137.6E-6,142.3E-6
