time (s),leafValue( VT("/A0") "Design_Point" 1 ) (V),leafValue( VT("/A1") "Design_Point" 1 ) (V),leafValue( VT("/B0") "Design_Point" 1 ) (V),leafValue( VT("/B1") "Design_Point" 1 ) (V),leafValue( VT("/O0") "Design_Point" 1 ) (V),leafValue( VT("/O1") "Design_Point" 1 ) (V),leafValue( VT("/O2") "Design_Point" 1 ) (V),leafValue( VT("/O3") "Design_Point" 1 ) (V),leafValue( VT("/V01") "Design_Point" 1 ) (V),leafValue( VT("/V2") "Design_Point" 1 ) (V),leafValue( VT("/V3") "Design_Point" 1 ) (V)
0.000,0.000,0.000,0.000,0.000,423.9E-9,423.3E-9,421.2E-9,134.8E-9,52.00E-9,52.48E-9,52.78E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.086E-6,4.959E-6,4.436E-6,2.776E-6,2.101E-6,2.200E-6,2.269E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.428E-6,8.118E-6,7.056E-6,4.703E-6,3.620E-6,3.818E-6,3.945E-6
35.75E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.31E-6,11.79E-6,10.05E-6,6.942E-6,5.366E-6,5.673E-6,5.871E-6
49.17E-12,295.0E-3,295.0E-3,295.0E-3,295.0E-3,15.49E-6,14.80E-6,12.50E-6,8.820E-6,6.841E-6,7.230E-6,7.490E-6
63.00E-12,378.0E-3,378.0E-3,378.0E-3,378.0E-3,18.46E-6,17.63E-6,14.84E-6,10.68E-6,8.291E-6,8.763E-6,9.083E-6
74.68E-12,448.1E-3,448.1E-3,448.1E-3,448.1E-3,21.37E-6,20.41E-6,17.24E-6,12.65E-6,9.769E-6,10.32E-6,10.70E-6
83.85E-12,503.1E-3,503.1E-3,503.1E-3,503.1E-3,24.41E-6,23.37E-6,19.89E-6,14.94E-6,11.45E-6,12.08E-6,12.52E-6
93.78E-12,562.7E-3,562.7E-3,562.7E-3,562.7E-3,29.60E-6,28.44E-6,24.61E-6,19.14E-6,14.44E-6,15.22E-6,15.76E-6
101.5E-12,608.8E-3,608.8E-3,608.8E-3,608.8E-3,35.97E-6,34.71E-6,30.54E-6,24.50E-6,18.18E-6,19.15E-6,19.81E-6
109.1E-12,654.4E-3,654.4E-3,654.4E-3,654.4E-3,45.85E-6,44.44E-6,39.81E-6,32.83E-6,23.85E-6,25.16E-6,26.01E-6
114.7E-12,687.9E-3,687.9E-3,687.9E-3,687.9E-3,56.13E-6,54.56E-6,49.42E-6,41.44E-6,29.70E-6,31.36E-6,32.42E-6
118.9E-12,713.6E-3,713.6E-3,713.6E-3,713.6E-3,65.92E-6,64.21E-6,58.55E-6,49.67E-6,35.31E-6,37.29E-6,38.53E-6
124.6E-12,747.7E-3,747.7E-3,747.7E-3,747.7E-3,81.54E-6,79.58E-6,73.08E-6,62.86E-6,44.31E-6,46.75E-6,48.30E-6
128.8E-12,772.5E-3,772.5E-3,772.5E-3,772.5E-3,94.82E-6,92.64E-6,85.43E-6,74.13E-6,51.98E-6,54.78E-6,56.60E-6
134.4E-12,806.2E-3,806.2E-3,806.2E-3,806.2E-3,115.4E-6,112.8E-6,104.5E-6,91.61E-6,63.86E-6,67.22E-6,69.43E-6
138.5E-12,831.0E-3,831.0E-3,831.0E-3,831.0E-3,132.1E-6,129.3E-6,120.1E-6,105.9E-6,73.62E-6,77.43E-6,79.95E-6
142.5E-12,855.0E-3,855.0E-3,855.0E-3,855.0E-3,149.3E-6,146.2E-6,135.9E-6,120.7E-6,83.85E-6,87.98E-6,90.81E-6
145.8E-12,874.7E-3,874.7E-3,874.7E-3,874.7E-3,163.8E-6,160.5E-6,149.4E-6,133.2E-6,93.18E-6,97.08E-6,100.2E-6
150.2E-12,901.1E-3,901.1E-3,901.1E-3,901.1E-3,183.4E-6,179.7E-6,167.4E-6,150.2E-6,108.8E-6,109.6E-6,113.0E-6
154.1E-12,924.6E-3,924.6E-3,924.6E-3,924.6E-3,200.9E-6,196.8E-6,183.4E-6,165.3E-6,130.1E-6,121.2E-6,125.0E-6
157.6E-12,945.9E-3,945.9E-3,945.9E-3,945.9E-3,216.1E-6,211.7E-6,197.3E-6,178.5E-6,157.0E-6,132.0E-6,136.1E-6
161.2E-12,967.4E-3,967.4E-3,967.4E-3,967.4E-3,231.4E-6,226.6E-6,211.0E-6,191.3E-6,190.6E-6,143.7E-6,148.6E-6
164.8E-12,988.6E-3,988.6E-3,988.6E-3,988.6E-3,246.2E-6,241.1E-6,224.3E-6,203.4E-6,232.2E-6,156.7E-6,163.3E-6
166.5E-12,999.2E-3,999.2E-3,999.2E-3,999.2E-3,253.6E-6,248.3E-6,230.8E-6,209.3E-6,257.8E-6,164.2E-6,172.2E-6
167.7E-12,1.006,1.006,1.006,1.006,258.6E-6,253.2E-6,235.2E-6,213.3E-6,278.0E-6,170.0E-6,179.2E-6
169.4E-12,1.016,1.016,1.016,1.016,265.4E-6,259.7E-6,241.1E-6,218.7E-6,305.5E-6,178.9E-6,189.7E-6
170.6E-12,1.023,1.023,1.023,1.023,270.2E-6,264.4E-6,245.3E-6,222.5E-6,323.2E-6,186.0E-6,198.0E-6
171.9E-12,1.031,1.031,1.031,1.031,275.8E-6,269.9E-6,250.2E-6,226.8E-6,337.9E-6,194.6E-6,208.2E-6
172.6E-12,1.036,1.036,1.036,1.036,279.1E-6,273.1E-6,253.1E-6,229.3E-6,337.9E-6,199.6E-6,214.0E-6
173.5E-12,1.041,1.041,1.041,1.041,283.0E-6,276.9E-6,256.5E-6,232.2E-6,308.9E-6,205.6E-6,221.2E-6
174.3E-12,1.046,1.046,1.046,1.046,286.6E-6,280.4E-6,259.7E-6,235.0E-6,236.8E-6,211.4E-6,228.1E-6
175.5E-12,1.053,1.053,1.053,1.053,292.2E-6,285.9E-6,264.6E-6,239.2E-6,49.11E-6,220.5E-6,239.1E-6
176.7E-12,1.060,1.060,1.060,1.060,297.6E-6,291.1E-6,269.2E-6,243.2E-6,-198.6E-6,229.7E-6,250.7E-6
177.8E-12,1.067,1.067,1.067,1.067,302.2E-6,295.6E-6,273.2E-6,246.8E-6,-446.5E-6,238.2E-6,261.6E-6
179.0E-12,1.074,1.074,1.074,1.074,307.4E-6,300.6E-6,277.6E-6,250.7E-6,-754.6E-6,248.3E-6,275.0E-6
180.7E-12,1.084,1.084,1.084,1.084,313.8E-6,306.9E-6,283.1E-6,255.7E-6,-1.178E-3,262.4E-6,294.8E-6
182.9E-12,1.097,1.097,1.097,1.097,321.4E-6,314.3E-6,289.5E-6,261.5E-6,-1.644E-3,282.2E-6,324.9E-6
184.7E-12,1.108,1.108,1.108,1.108,327.0E-6,319.5E-6,294.1E-6,265.6E-6,-1.650E-3,300.4E-6,351.6E-6
186.2E-12,1.117,1.117,1.117,1.117,330.8E-6,323.2E-6,297.2E-6,268.5E-6,-1.056E-3,317.0E-6,371.3E-6
187.5E-12,1.125,1.125,1.125,1.125,333.9E-6,326.2E-6,299.7E-6,270.8E-6,160.9E-6,333.4E-6,385.3E-6
188.3E-12,1.130,1.130,1.130,1.130,335.7E-6,327.9E-6,301.2E-6,272.1E-6,1.235E-3,343.4E-6,386.6E-6
189.3E-12,1.136,1.136,1.136,1.136,337.7E-6,329.8E-6,302.8E-6,273.5E-6,2.753E-3,354.5E-6,358.2E-6
190.1E-12,1.141,1.141,1.141,1.141,339.4E-6,331.3E-6,304.2E-6,274.6E-6,4.318E-3,363.6E-6,286.6E-6
191.3E-12,1.148,1.148,1.148,1.148,341.5E-6,333.4E-6,305.9E-6,276.0E-6,6.791E-3,374.2E-6,115.8E-6
192.2E-12,1.153,1.153,1.153,1.153,343.2E-6,335.0E-6,307.2E-6,277.1E-6,9.009E-3,376.3E-6,-65.14E-6
193.2E-12,1.159,1.159,1.159,1.159,344.9E-6,336.7E-6,308.6E-6,278.1E-6,11.49E-3,354.2E-6,-277.2E-6
194.2E-12,1.165,1.165,1.165,1.165,346.6E-6,338.2E-6,310.0E-6,279.1E-6,14.00E-3,288.3E-6,-494.0E-6
195.3E-12,1.172,1.172,1.172,1.172,348.5E-6,340.1E-6,311.5E-6,280.2E-6,17.27E-3,141.1E-6,-775.7E-6
196.5E-12,1.179,1.179,1.179,1.179,350.5E-6,342.0E-6,313.1E-6,281.3E-6,20.79E-3,-63.69E-6,-1.070E-3
197.7E-12,1.186,1.186,1.186,1.186,352.4E-6,343.8E-6,314.7E-6,282.4E-6,24.41E-3,-301.2E-6,-1.355E-3
199.0E-12,1.194,1.194,1.194,1.194,354.7E-6,346.0E-6,316.5E-6,283.6E-6,28.74E-3,-603.8E-6,-1.621E-3
200.0E-12,1.200,1.200,1.200,1.200,356.3E-6,347.6E-6,317.8E-6,284.5E-6,31.94E-3,-835.0E-6,-1.702E-3
200.9E-12,1.200,1.200,1.200,1.200,356.9E-6,348.0E-6,318.0E-6,284.7E-6,34.88E-3,-1.048E-3,-1.528E-3
202.3E-12,1.200,1.200,1.200,1.200,358.1E-6,349.1E-6,318.8E-6,285.3E-6,39.72E-3,-1.383E-3,-885.3E-6
203.8E-12,1.200,1.200,1.200,1.200,359.6E-6,350.6E-6,320.0E-6,286.2E-6,44.67E-3,-1.639E-3,504.1E-6
205.5E-12,1.200,1.200,1.200,1.200,361.1E-6,352.0E-6,321.1E-6,287.0E-6,50.41E-3,-1.580E-3,2.998E-3
207.3E-12,1.200,1.200,1.200,1.200,362.5E-6,353.4E-6,322.2E-6,287.9E-6,56.95E-3,-610.0E-6,6.791E-3
209.3E-12,1.200,1.200,1.200,1.200,363.6E-6,354.4E-6,323.1E-6,288.6E-6,63.77E-3,1.674E-3,11.56E-3
211.3E-12,1.200,1.200,1.200,1.200,364.2E-6,355.0E-6,323.6E-6,289.2E-6,70.58E-3,5.149E-3,16.94E-3
213.7E-12,1.200,1.200,1.200,1.200,364.6E-6,355.3E-6,323.9E-6,289.7E-6,79.06E-3,10.75E-3,24.24E-3
216.0E-12,1.200,1.200,1.200,1.200,364.3E-6,354.9E-6,323.7E-6,289.8E-6,87.09E-3,17.00E-3,31.58E-3
218.8E-12,1.200,1.200,1.200,1.200,362.7E-6,353.3E-6,322.4E-6,289.1E-6,96.98E-3,25.52E-3,40.98E-3
221.3E-12,1.200,1.200,1.200,1.200,360.2E-6,350.9E-6,320.2E-6,287.7E-6,106.0E-3,33.82E-3,49.75E-3
223.5E-12,1.200,1.200,1.200,1.200,357.5E-6,348.2E-6,318.0E-6,286.0E-6,113.6E-3,41.12E-3,57.29E-3
226.7E-12,1.200,1.200,1.200,1.200,352.5E-6,343.4E-6,313.7E-6,282.7E-6,124.8E-3,52.10E-3,68.49E-3
229.6E-12,1.200,1.200,1.200,1.200,347.4E-6,338.5E-6,309.3E-6,279.0E-6,135.0E-3,62.24E-3,78.73E-3
232.3E-12,1.200,1.200,1.200,1.200,342.3E-6,333.5E-6,304.8E-6,275.2E-6,144.2E-3,71.50E-3,88.02E-3
235.2E-12,1.200,1.200,1.200,1.200,336.3E-6,327.6E-6,299.5E-6,270.6E-6,154.5E-3,81.85E-3,98.38E-3
238.7E-12,1.200,1.200,1.200,1.200,328.9E-6,320.3E-6,292.8E-6,264.7E-6,166.7E-3,94.15E-3,110.7E-3
242.8E-12,1.200,1.200,1.200,1.200,320.2E-6,311.9E-6,285.0E-6,257.6E-6,180.6E-3,108.3E-3,124.8E-3
247.1E-12,1.200,1.200,1.200,1.200,310.7E-6,303.2E-6,276.8E-6,250.0E-6,195.4E-3,123.3E-3,139.7E-3
