time (s),leafValue( VT("/A0") "Design_Point" 1 ) (V),leafValue( VT("/A1") "Design_Point" 1 ) (V),leafValue( VT("/B0") "Design_Point" 1 ) (V),leafValue( VT("/B1") "Design_Point" 1 ) (V),leafValue( VT("/O0") "Design_Point" 1 ) (V),leafValue( VT("/O1") "Design_Point" 1 ) (V),leafValue( VT("/O2") "Design_Point" 1 ) (V),leafValue( VT("/O3") "Design_Point" 1 ) (V),leafValue( VT("/V01") "Design_Point" 1 ) (V),leafValue( VT("/V2") "Design_Point" 1 ) (V),leafValue( VT("/V3") "Design_Point" 1 ) (V)
0.000,0.000,0.000,0.000,0.000,422.4E-9,421.9E-9,420.1E-9,134.0E-9,1.200,51.32E-9,51.55E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.108E-6,4.979E-6,4.448E-6,2.772E-6,1.200,2.141E-6,2.206E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.476E-6,8.161E-6,7.081E-6,4.697E-6,1.200,3.712E-6,3.832E-6
35.75E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.40E-6,11.86E-6,10.09E-6,6.935E-6,1.200,5.514E-6,5.701E-6
49.17E-12,295.0E-3,295.0E-3,295.0E-3,295.0E-3,15.59E-6,14.89E-6,12.55E-6,8.806E-6,1.200,7.021E-6,7.266E-6
63.00E-12,378.0E-3,378.0E-3,378.0E-3,378.0E-3,18.52E-6,17.67E-6,14.84E-6,10.62E-6,1.200,8.452E-6,8.747E-6
74.68E-12,448.1E-3,448.1E-3,448.1E-3,448.1E-3,21.24E-6,20.28E-6,17.06E-6,12.43E-6,1.200,9.790E-6,10.12E-6
83.85E-12,503.1E-3,503.1E-3,503.1E-3,503.1E-3,23.93E-6,22.88E-6,19.39E-6,14.44E-6,1.200,11.18E-6,11.54E-6
93.77E-12,562.6E-3,562.6E-3,562.6E-3,562.6E-3,28.34E-6,27.19E-6,23.39E-6,18.03E-6,1.200,13.54E-6,13.92E-6
101.5E-12,608.8E-3,608.8E-3,608.8E-3,608.8E-3,33.73E-6,32.49E-6,28.44E-6,22.62E-6,1.200,16.48E-6,16.90E-6
109.1E-12,654.4E-3,654.4E-3,654.4E-3,654.4E-3,42.20E-6,40.85E-6,36.42E-6,29.83E-6,1.200,21.11E-6,21.55E-6
114.6E-12,687.9E-3,687.9E-3,687.9E-3,687.9E-3,51.13E-6,49.66E-6,44.81E-6,37.36E-6,1.200,25.99E-6,26.46E-6
118.9E-12,713.6E-3,713.6E-3,713.6E-3,713.6E-3,59.71E-6,58.10E-6,52.82E-6,44.59E-6,1.200,30.70E-6,31.20E-6
124.6E-12,747.7E-3,747.7E-3,747.7E-3,747.7E-3,73.43E-6,71.61E-6,65.61E-6,56.24E-6,1.200,38.27E-6,38.81E-6
128.8E-12,772.5E-3,772.5E-3,772.5E-3,772.5E-3,85.12E-6,83.12E-6,76.52E-6,66.22E-6,1.200,44.72E-6,45.30E-6
134.4E-12,806.2E-3,806.2E-3,806.2E-3,806.2E-3,103.2E-6,100.9E-6,93.38E-6,81.71E-6,1.200,54.72E-6,55.36E-6
138.5E-12,831.0E-3,831.0E-3,831.0E-3,831.0E-3,118.0E-6,115.4E-6,107.1E-6,94.38E-6,1.200,62.89E-6,63.57E-6
142.5E-12,854.9E-3,854.9E-3,854.9E-3,854.9E-3,132.9E-6,130.2E-6,121.0E-6,107.3E-6,1.200,71.24E-6,71.97E-6
145.8E-12,874.7E-3,874.7E-3,874.7E-3,874.7E-3,145.5E-6,142.5E-6,132.6E-6,118.3E-6,1.200,78.32E-6,79.08E-6
150.2E-12,901.0E-3,901.0E-3,901.0E-3,901.0E-3,162.0E-6,158.8E-6,147.9E-6,132.8E-6,1.200,87.73E-6,88.53E-6
154.1E-12,924.5E-3,924.5E-3,924.5E-3,924.5E-3,176.5E-6,172.9E-6,161.2E-6,145.6E-6,1.200,95.99E-6,96.81E-6
158.0E-12,948.3E-3,948.3E-3,948.3E-3,948.3E-3,190.2E-6,186.4E-6,173.9E-6,157.8E-6,1.200,103.9E-6,104.8E-6
161.8E-12,970.9E-3,970.9E-3,970.9E-3,970.9E-3,202.9E-6,198.9E-6,185.5E-6,168.9E-6,1.200,111.0E-6,111.9E-6
165.4E-12,992.6E-3,992.6E-3,992.6E-3,992.6E-3,214.6E-6,210.3E-6,196.1E-6,178.9E-6,1.200,117.3E-6,118.3E-6
169.3E-12,1.016,1.016,1.016,1.016,226.7E-6,222.2E-6,207.1E-6,189.3E-6,1.200,123.3E-6,124.5E-6
173.1E-12,1.039,1.039,1.039,1.039,238.9E-6,234.1E-6,218.1E-6,199.5E-6,1.200,129.0E-6,130.4E-6
176.4E-12,1.059,1.059,1.059,1.059,249.0E-6,244.0E-6,227.3E-6,208.1E-6,1.200,133.6E-6,135.2E-6
179.3E-12,1.076,1.076,1.076,1.076,257.0E-6,251.9E-6,234.5E-6,214.8E-6,1.200,137.2E-6,139.0E-6
181.7E-12,1.090,1.090,1.090,1.090,262.9E-6,257.6E-6,239.6E-6,219.8E-6,1.200,139.8E-6,141.8E-6
184.0E-12,1.104,1.104,1.104,1.104,267.6E-6,262.2E-6,243.8E-6,223.7E-6,1.200,141.9E-6,144.0E-6
186.8E-12,1.121,1.121,1.121,1.121,272.3E-6,266.7E-6,247.8E-6,227.4E-6,1.200,143.9E-6,146.1E-6
189.1E-12,1.135,1.135,1.135,1.135,275.6E-6,269.9E-6,250.5E-6,229.9E-6,1.200,145.1E-6,147.5E-6
191.5E-12,1.149,1.149,1.149,1.149,278.5E-6,272.7E-6,252.9E-6,232.0E-6,1.200,146.2E-6,148.6E-6
193.6E-12,1.162,1.162,1.162,1.162,280.6E-6,274.7E-6,254.7E-6,233.5E-6,1.200,146.9E-6,149.4E-6
195.8E-12,1.175,1.175,1.175,1.175,282.5E-6,276.5E-6,256.2E-6,234.7E-6,1.200,147.5E-6,150.0E-6
198.0E-12,1.188,1.188,1.188,1.188,284.3E-6,278.3E-6,257.7E-6,235.9E-6,1.200,148.0E-6,150.6E-6
199.0E-12,1.194,1.194,1.194,1.194,285.2E-6,279.1E-6,258.5E-6,236.4E-6,1.200,148.2E-6,150.9E-6
