time (s),leafValue( VT("/A0") "Design_Point" 1 ) (V),leafValue( VT("/A1") "Design_Point" 1 ) (V),leafValue( VT("/B0") "Design_Point" 1 ) (V),leafValue( VT("/B1") "Design_Point" 1 ) (V),leafValue( VT("/O0") "Design_Point" 1 ) (V),leafValue( VT("/O1") "Design_Point" 1 ) (V),leafValue( VT("/O2") "Design_Point" 1 ) (V),leafValue( VT("/O3") "Design_Point" 1 ) (V),leafValue( VT("/V01") "Design_Point" 1 ) (V),leafValue( VT("/V2") "Design_Point" 1 ) (V),leafValue( VT("/V3") "Design_Point" 1 ) (V)
0.000,0.000,0.000,0.000,0.000,423.8E-9,423.2E-9,421.2E-9,134.7E-9,1.200,52.41E-9,52.73E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.107E-6,4.978E-6,4.447E-6,2.773E-6,1.200,2.141E-6,2.206E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.472E-6,8.158E-6,7.080E-6,4.700E-6,1.200,3.711E-6,3.831E-6
35.75E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.39E-6,11.86E-6,10.09E-6,6.939E-6,1.200,5.512E-6,5.699E-6
49.17E-12,295.0E-3,295.0E-3,295.0E-3,295.0E-3,15.59E-6,14.89E-6,12.55E-6,8.814E-6,1.200,7.019E-6,7.263E-6
63.03E-12,378.2E-3,378.2E-3,378.2E-3,378.2E-3,18.54E-6,17.69E-6,14.86E-6,10.64E-6,1.200,8.460E-6,8.754E-6
74.74E-12,448.4E-3,448.4E-3,448.4E-3,448.4E-3,21.31E-6,20.35E-6,17.13E-6,12.49E-6,1.200,9.820E-6,10.15E-6
83.91E-12,503.5E-3,503.5E-3,503.5E-3,503.5E-3,24.09E-6,23.04E-6,19.54E-6,14.57E-6,1.200,11.25E-6,11.61E-6
93.84E-12,563.0E-3,563.0E-3,563.0E-3,563.0E-3,28.71E-6,27.56E-6,23.73E-6,18.31E-6,1.200,13.70E-6,14.09E-6
101.5E-12,609.2E-3,609.2E-3,609.2E-3,609.2E-3,34.40E-6,33.15E-6,29.03E-6,23.10E-6,1.200,16.77E-6,17.20E-6
109.1E-12,654.9E-3,654.9E-3,654.9E-3,654.9E-3,43.23E-6,41.86E-6,37.33E-6,30.56E-6,1.200,21.56E-6,22.02E-6
114.7E-12,688.2E-3,688.2E-3,688.2E-3,688.2E-3,52.34E-6,50.82E-6,45.85E-6,38.21E-6,1.200,26.50E-6,27.00E-6
119.0E-12,714.0E-3,714.0E-3,714.0E-3,714.0E-3,61.13E-6,59.48E-6,54.06E-6,45.62E-6,1.200,31.31E-6,31.83E-6
124.7E-12,748.5E-3,748.5E-3,748.5E-3,748.5E-3,75.27E-6,73.40E-6,67.24E-6,57.61E-6,1.200,39.06E-6,39.63E-6
128.9E-12,773.6E-3,773.6E-3,773.6E-3,773.6E-3,87.35E-6,85.29E-6,78.48E-6,67.89E-6,1.200,45.69E-6,46.30E-6
134.5E-12,807.2E-3,807.2E-3,807.2E-3,807.2E-3,105.8E-6,103.4E-6,95.65E-6,83.65E-6,1.200,55.81E-6,56.49E-6
138.6E-12,831.9E-3,831.9E-3,831.9E-3,831.9E-3,120.8E-6,118.2E-6,109.6E-6,96.51E-6,1.200,64.07E-6,64.79E-6
142.6E-12,855.5E-3,855.5E-3,855.5E-3,855.5E-3,135.8E-6,133.0E-6,123.5E-6,109.5E-6,1.200,72.42E-6,73.19E-6
145.9E-12,875.4E-3,875.4E-3,875.4E-3,875.4E-3,148.7E-6,145.6E-6,135.5E-6,120.7E-6,1.200,79.63E-6,80.44E-6
150.2E-12,900.9E-3,900.9E-3,900.9E-3,900.9E-3,165.1E-6,161.7E-6,150.6E-6,135.1E-6,1.200,88.87E-6,89.72E-6
154.1E-12,924.7E-3,924.7E-3,924.7E-3,924.7E-3,180.0E-6,176.3E-6,164.3E-6,148.2E-6,1.200,97.32E-6,98.21E-6
158.1E-12,948.4E-3,948.4E-3,948.4E-3,948.4E-3,194.2E-6,190.2E-6,177.3E-6,160.7E-6,1.200,105.4E-6,106.3E-6
161.9E-12,971.3E-3,971.3E-3,971.3E-3,971.3E-3,207.4E-6,203.2E-6,189.4E-6,172.2E-6,1.200,112.7E-6,113.7E-6
165.5E-12,993.1E-3,993.1E-3,993.1E-3,993.1E-3,219.4E-6,215.0E-6,200.4E-6,182.6E-6,1.200,119.1E-6,120.2E-6
169.4E-12,1.016,1.016,1.016,1.016,232.1E-6,227.4E-6,211.8E-6,193.3E-6,1.200,125.4E-6,126.7E-6
171.9E-12,1.031,1.031,1.031,1.031,240.4E-6,235.5E-6,219.3E-6,200.3E-6,1.200,129.2E-6,130.7E-6
174.7E-12,1.048,1.048,1.048,1.048,249.5E-6,244.4E-6,227.6E-6,207.9E-6,1.200,133.3E-6,134.9E-6
176.9E-12,1.061,1.061,1.061,1.061,256.5E-6,251.3E-6,233.9E-6,213.9E-6,1.200,136.5E-6,138.2E-6
179.3E-12,1.076,1.076,1.076,1.076,263.5E-6,258.2E-6,240.3E-6,219.8E-6,1.200,139.6E-6,141.5E-6
181.5E-12,1.089,1.089,1.089,1.089,269.4E-6,263.9E-6,245.5E-6,224.8E-6,1.200,142.2E-6,144.3E-6
183.9E-12,1.103,1.103,1.103,1.103,274.9E-6,269.3E-6,250.3E-6,229.4E-6,1.200,144.6E-6,146.8E-6
186.0E-12,1.116,1.116,1.116,1.116,279.2E-6,273.5E-6,254.0E-6,232.9E-6,1.200,146.4E-6,148.7E-6
188.0E-12,1.128,1.128,1.128,1.128,282.7E-6,276.8E-6,257.0E-6,235.6E-6,1.200,147.8E-6,150.2E-6
190.0E-12,1.140,1.140,1.140,1.140,285.6E-6,279.6E-6,259.4E-6,237.8E-6,1.200,148.9E-6,151.4E-6
191.9E-12,1.151,1.151,1.151,1.151,287.9E-6,281.8E-6,261.3E-6,239.4E-6,1.200,149.7E-6,152.4E-6
194.1E-12,1.165,1.165,1.165,1.165,290.1E-6,283.9E-6,263.1E-6,240.9E-6,1.200,150.5E-6,153.2E-6
196.4E-12,1.179,1.179,1.179,1.179,292.1E-6,285.9E-6,264.7E-6,242.1E-6,1.200,151.1E-6,153.9E-6
198.2E-12,1.189,1.189,1.189,1.189,293.7E-6,287.5E-6,266.0E-6,243.1E-6,1.200,151.6E-6,154.4E-6
200.0E-12,1.200,1.200,1.200,1.200,295.4E-6,289.1E-6,267.4E-6,244.0E-6,1.200,152.0E-6,154.9E-6
200.9E-12,1.200,1.200,1.200,1.200,295.3E-6,288.9E-6,267.1E-6,244.0E-6,1.200,151.9E-6,154.8E-6
202.7E-12,1.200,1.200,1.200,1.200,295.5E-6,289.1E-6,267.2E-6,244.2E-6,1.200,151.8E-6,154.7E-6
204.5E-12,1.200,1.200,1.200,1.200,296.1E-6,289.7E-6,267.8E-6,244.6E-6,1.200,151.8E-6,154.8E-6
206.3E-12,1.200,1.200,1.200,1.200,296.5E-6,290.1E-6,268.1E-6,245.0E-6,1.200,151.6E-6,154.7E-6
208.2E-12,1.200,1.200,1.200,1.200,296.9E-6,290.5E-6,268.6E-6,245.5E-6,1.200,151.4E-6,154.5E-6
210.5E-12,1.200,1.200,1.200,1.200,297.1E-6,290.7E-6,268.9E-6,245.9E-6,1.200,151.1E-6,154.2E-6
212.7E-12,1.200,1.200,1.200,1.200,296.9E-6,290.6E-6,269.1E-6,246.3E-6,1.200,150.7E-6,153.9E-6
