time (s),leafValue( VT("/A0") "Design_Point" 1 ) (V),leafValue( VT("/A1") "Design_Point" 1 ) (V),leafValue( VT("/B0") "Design_Point" 1 ) (V),leafValue( VT("/B1") "Design_Point" 1 ) (V),leafValue( VT("/O0") "Design_Point" 1 ) (V),leafValue( VT("/O1") "Design_Point" 1 ) (V),leafValue( VT("/O2") "Design_Point" 1 ) (V),leafValue( VT("/O3") "Design_Point" 1 ) (V),leafValue( VT("/V01") "Design_Point" 1 ) (V),leafValue( VT("/V2") "Design_Point" 1 ) (V),leafValue( VT("/V3") "Design_Point" 1 ) (V)
0.000,0.000,0.000,0.000,0.000,423.8E-9,423.2E-9,421.2E-9,134.7E-9,1.200,52.53E-9,52.86E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.021E-6,4.896E-6,4.377E-6,2.728E-6,1.200,2.123E-6,2.185E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.310E-6,8.003E-6,6.951E-6,4.614E-6,1.200,3.674E-6,3.790E-6
35.75E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.13E-6,11.61E-6,9.892E-6,6.803E-6,1.200,5.451E-6,5.630E-6
49.17E-12,295.0E-3,295.0E-3,295.0E-3,295.0E-3,15.25E-6,14.56E-6,12.29E-6,8.636E-6,1.200,6.940E-6,7.174E-6
63.00E-12,378.0E-3,378.0E-3,378.0E-3,378.0E-3,18.13E-6,17.30E-6,14.55E-6,10.43E-6,1.200,8.379E-6,8.661E-6
74.68E-12,448.1E-3,448.1E-3,448.1E-3,448.1E-3,20.87E-6,19.93E-6,16.80E-6,12.27E-6,1.200,9.789E-6,10.11E-6
83.85E-12,503.1E-3,503.1E-3,503.1E-3,503.1E-3,23.66E-6,22.63E-6,19.21E-6,14.35E-6,1.200,11.33E-6,11.67E-6
93.78E-12,562.7E-3,562.7E-3,562.7E-3,562.7E-3,28.29E-6,27.16E-6,23.42E-6,18.11E-6,1.200,14.02E-6,14.39E-6
101.5E-12,608.8E-3,608.8E-3,608.8E-3,608.8E-3,33.96E-6,32.73E-6,28.70E-6,22.91E-6,1.200,17.40E-6,17.78E-6
