time (s),leafValue( VT("/A0") "Design_Point" 1 ) (V),leafValue( VT("/A1") "Design_Point" 1 ) (V),leafValue( VT("/B0") "Design_Point" 1 ) (V),leafValue( VT("/B1") "Design_Point" 1 ) (V),leafValue( VT("/O0") "Design_Point" 1 ) (V),leafValue( VT("/O1") "Design_Point" 1 ) (V),leafValue( VT("/O2") "Design_Point" 1 ) (V),leafValue( VT("/O3") "Design_Point" 1 ) (V),leafValue( VT("/V01") "Design_Point" 1 ) (V),leafValue( VT("/V2") "Design_Point" 1 ) (V),leafValue( VT("/V3") "Design_Point" 1 ) (V)
0.000,0.000,0.000,0.000,0.000,425.2E-9,424.5E-9,422.2E-9,135.5E-9,1.200,53.70E-9,54.13E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.092E-6,4.964E-6,4.435E-6,2.765E-6,1.200,2.134E-6,2.198E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.444E-6,8.130E-6,7.057E-6,4.685E-6,1.200,3.694E-6,3.813E-6
35.75E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.34E-6,11.81E-6,10.06E-6,6.914E-6,1.200,5.484E-6,5.669E-6
49.17E-12,295.0E-3,295.0E-3,295.0E-3,295.0E-3,15.53E-6,14.83E-6,12.50E-6,8.780E-6,1.200,6.981E-6,7.223E-6
63.00E-12,378.0E-3,378.0E-3,378.0E-3,378.0E-3,18.45E-6,17.61E-6,14.79E-6,10.59E-6,1.200,8.408E-6,8.699E-6
74.68E-12,448.1E-3,448.1E-3,448.1E-3,448.1E-3,21.19E-6,20.23E-6,17.03E-6,12.43E-6,1.200,9.753E-6,10.08E-6
83.85E-12,503.1E-3,503.1E-3,503.1E-3,503.1E-3,23.92E-6,22.87E-6,19.40E-6,14.48E-6,1.200,11.17E-6,11.52E-6
93.77E-12,562.6E-3,562.6E-3,562.6E-3,562.6E-3,28.44E-6,27.29E-6,23.51E-6,18.17E-6,1.200,13.58E-6,13.97E-6
101.5E-12,608.8E-3,608.8E-3,608.8E-3,608.8E-3,33.98E-6,32.75E-6,28.70E-6,22.89E-6,1.200,16.62E-6,17.03E-6
109.1E-12,654.4E-3,654.4E-3,654.4E-3,654.4E-3,42.68E-6,41.33E-6,36.90E-6,30.29E-6,1.200,21.40E-6,21.84E-6
114.6E-12,687.9E-3,687.9E-3,687.9E-3,687.9E-3,51.80E-6,50.32E-6,45.46E-6,37.99E-6,1.200,26.44E-6,26.92E-6
118.9E-12,713.6E-3,713.6E-3,713.6E-3,713.6E-3,60.49E-6,58.89E-6,53.60E-6,45.36E-6,1.200,31.32E-6,31.83E-6
124.6E-12,747.7E-3,747.7E-3,747.7E-3,747.7E-3,74.43E-6,72.61E-6,66.60E-6,57.24E-6,1.200,39.19E-6,39.74E-6
128.8E-12,772.5E-3,772.5E-3,772.5E-3,772.5E-3,86.53E-6,84.51E-6,77.89E-6,67.52E-6,1.200,46.02E-6,46.61E-6
133.0E-12,798.0E-3,798.0E-3,798.0E-3,798.0E-3,100.7E-6,98.48E-6,91.10E-6,79.54E-6,1.200,54.03E-6,54.66E-6
136.7E-12,820.1E-3,820.1E-3,820.1E-3,820.1E-3,114.4E-6,111.9E-6,103.7E-6,91.07E-6,1.200,61.75E-6,62.43E-6
