time (s),OP0 (V),OP1 (V),OP2 (V),B0 (V),B1 (V),ena (V),V01 (V),V2 (V),V3 (V)
0.000,0.000,0.000,0.000,0.000,0.000,0.000,49.24E-9,49.51E-9,49.62E-9
21.77E-12,130.6E-3,130.6E-3,130.6E-3,130.6E-3,130.6E-3,130.6E-3,13.18E-6,8.758E-6,8.909E-6
43.08E-12,258.5E-3,258.5E-3,258.5E-3,258.5E-3,258.5E-3,258.5E-3,17.61E-6,11.55E-6,11.81E-6
54.23E-12,325.4E-3,325.4E-3,325.4E-3,325.4E-3,325.4E-3,325.4E-3,19.27E-6,12.76E-6,13.07E-6
67.85E-12,407.1E-3,407.1E-3,407.1E-3,407.1E-3,407.1E-3,407.1E-3,18.47E-6,14.40E-6,14.80E-6
77.82E-12,466.9E-3,466.9E-3,466.9E-3,466.9E-3,466.9E-3,466.9E-3,11.41E-6,16.16E-6,16.64E-6
89.81E-12,538.9E-3,538.9E-3,538.9E-3,538.9E-3,538.9E-3,538.9E-3,-22.54E-6,19.57E-6,20.23E-6
98.35E-12,590.1E-3,590.1E-3,590.1E-3,590.1E-3,590.1E-3,590.1E-3,-92.28E-6,23.52E-6,24.40E-6
106.1E-12,636.4E-3,636.4E-3,636.4E-3,636.4E-3,636.4E-3,636.4E-3,-230.1E-6,29.24E-6,30.41E-6
109.9E-12,659.6E-3,659.6E-3,659.6E-3,659.6E-3,659.6E-3,659.6E-3,-335.4E-6,33.30E-6,34.67E-6
114.4E-12,686.2E-3,686.2E-3,686.2E-3,686.2E-3,686.2E-3,686.2E-3,-493.0E-6,39.30E-6,40.96E-6
118.1E-12,708.5E-3,708.5E-3,708.5E-3,708.5E-3,708.5E-3,708.5E-3,-656.6E-6,45.62E-6,47.54E-6
122.8E-12,736.8E-3,736.8E-3,736.8E-3,736.8E-3,736.8E-3,736.8E-3,-908.5E-6,55.21E-6,57.52E-6
126.6E-12,759.7E-3,759.7E-3,759.7E-3,759.7E-3,759.7E-3,759.7E-3,-1.146E-3,64.25E-6,66.90E-6
129.7E-12,778.4E-3,778.4E-3,778.4E-3,778.4E-3,778.4E-3,778.4E-3,-1.350E-3,72.50E-6,75.45E-6
132.7E-12,796.4E-3,796.4E-3,796.4E-3,796.4E-3,796.4E-3,796.4E-3,-1.512E-3,81.17E-6,84.43E-6
136.0E-12,815.9E-3,815.9E-3,815.9E-3,815.9E-3,815.9E-3,815.9E-3,-1.498E-3,91.36E-6,94.97E-6
138.9E-12,833.6E-3,833.6E-3,833.6E-3,833.6E-3,833.6E-3,833.6E-3,-1.021E-3,101.3E-6,105.2E-6
141.8E-12,850.5E-3,850.5E-3,850.5E-3,850.5E-3,850.5E-3,850.5E-3,231.7E-6,111.3E-6,115.6E-6
144.6E-12,867.4E-3,867.4E-3,867.4E-3,867.4E-3,867.4E-3,867.4E-3,2.591E-3,121.7E-6,126.3E-6
147.8E-12,886.5E-3,886.5E-3,886.5E-3,886.5E-3,886.5E-3,886.5E-3,6.862E-3,133.8E-6,138.9E-6
151.1E-12,906.8E-3,906.8E-3,906.8E-3,906.8E-3,906.8E-3,906.8E-3,13.29E-3,146.9E-6,152.3E-6
154.4E-12,926.2E-3,926.2E-3,926.2E-3,926.2E-3,926.2E-3,926.2E-3,21.15E-3,159.2E-6,165.0E-6
158.1E-12,948.7E-3,948.7E-3,948.7E-3,948.7E-3,948.7E-3,948.7E-3,31.82E-3,172.7E-6,179.1E-6
161.9E-12,971.4E-3,971.4E-3,971.4E-3,971.4E-3,971.4E-3,971.4E-3,43.68E-3,185.2E-6,192.1E-6
165.5E-12,992.9E-3,992.9E-3,992.9E-3,992.9E-3,992.9E-3,992.9E-3,55.52E-3,195.9E-6,203.2E-6
169.3E-12,1.016,1.016,1.016,1.016,1.016,1.016,68.40E-3,205.9E-6,213.8E-6
172.6E-12,1.035,1.035,1.035,1.035,1.035,1.035,79.70E-3,213.6E-6,222.0E-6
175.7E-12,1.054,1.054,1.054,1.054,1.054,1.054,90.48E-3,220.1E-6,229.1E-6
178.5E-12,1.071,1.071,1.071,1.071,1.071,1.071,100.3E-3,225.5E-6,234.9E-6
181.2E-12,1.087,1.087,1.087,1.087,1.087,1.087,109.5E-3,230.2E-6,239.9E-6
183.6E-12,1.101,1.101,1.101,1.101,1.101,1.101,117.7E-3,234.1E-6,244.2E-6
185.8E-12,1.115,1.115,1.115,1.115,1.115,1.115,125.3E-3,237.7E-6,248.0E-6
187.8E-12,1.127,1.127,1.127,1.127,1.127,1.127,132.5E-3,241.0E-6,251.5E-6
190.2E-12,1.141,1.141,1.141,1.141,1.141,1.141,140.5E-3,244.8E-6,255.6E-6
192.7E-12,1.156,1.156,1.156,1.156,1.156,1.156,149.3E-3,249.1E-6,260.2E-6
195.4E-12,1.172,1.172,1.172,1.172,1.172,1.172,158.5E-3,253.7E-6,265.0E-6
197.7E-12,1.186,1.186,1.186,1.186,1.186,1.186,166.5E-3,257.6E-6,269.2E-6
200.0E-12,1.200,1.200,1.200,1.200,1.200,1.200,174.4E-3,261.5E-6,273.4E-6
201.6E-12,1.200,1.200,1.200,1.200,1.200,1.200,179.8E-3,261.9E-6,273.9E-6
203.9E-12,1.200,1.200,1.200,1.200,1.200,1.200,187.6E-3,262.9E-6,275.1E-6
206.1E-12,1.200,1.200,1.200,1.200,1.200,1.200,195.4E-3,264.8E-6,277.1E-6
208.3E-12,1.200,1.200,1.200,1.200,1.200,1.200,202.9E-3,266.8E-6,279.2E-6
210.9E-12,1.200,1.200,1.200,1.200,1.200,1.200,211.8E-3,269.0E-6,281.5E-6
213.8E-12,1.200,1.200,1.200,1.200,1.200,1.200,221.7E-3,271.0E-6,283.6E-6
216.7E-12,1.200,1.200,1.200,1.200,1.200,1.200,231.5E-3,272.5E-6,285.3E-6
219.4E-12,1.200,1.200,1.200,1.200,1.200,1.200,240.8E-3,273.6E-6,286.4E-6
222.6E-12,1.200,1.200,1.200,1.200,1.200,1.200,251.6E-3,274.5E-6,287.4E-6
226.0E-12,1.200,1.200,1.200,1.200,1.200,1.200,263.3E-3,275.2E-6,288.1E-6
228.5E-12,1.200,1.200,1.200,1.200,1.200,1.200,271.7E-3,275.4E-6,288.3E-6
230.6E-12,1.200,1.200,1.200,1.200,1.200,1.200,278.6E-3,275.6E-6,288.5E-6
233.1E-12,1.200,1.200,1.200,1.200,1.200,1.200,287.2E-3,275.5E-6,288.4E-6
235.4E-12,1.200,1.200,1.200,1.200,1.200,1.200,294.8E-3,275.4E-6,288.2E-6
237.9E-12,1.200,1.200,1.200,1.200,1.200,1.200,303.2E-3,275.0E-6,287.8E-6
240.2E-12,1.200,1.200,1.200,1.200,1.200,1.200,310.9E-3,274.6E-6,287.3E-6
242.6E-12,1.200,1.200,1.200,1.200,1.200,1.200,319.1E-3,274.1E-6,286.7E-6
244.7E-12,1.200,1.200,1.200,1.200,1.200,1.200,326.2E-3,273.6E-6,286.2E-6
246.5E-12,1.200,1.200,1.200,1.200,1.200,1.200,332.0E-3,273.2E-6,285.7E-6
249.0E-12,1.200,1.200,1.200,1.200,1.200,1.200,340.4E-3,272.4E-6,284.9E-6
251.5E-12,1.200,1.200,1.200,1.200,1.200,1.200,348.5E-3,271.4E-6,283.8E-6
254.4E-12,1.200,1.200,1.200,1.200,1.200,1.200,358.3E-3,269.8E-6,282.0E-6
257.5E-12,1.200,1.200,1.200,1.200,1.200,1.200,368.3E-3,267.5E-6,279.6E-6
260.6E-12,1.200,1.200,1.200,1.200,1.200,1.200,378.6E-3,264.6E-6,276.5E-6
263.7E-12,1.200,1.200,1.200,1.200,1.200,1.200,388.9E-3,261.1E-6,272.9E-6
267.2E-12,1.200,1.200,1.200,1.200,1.200,1.200,400.1E-3,256.9E-6,268.5E-6
270.2E-12,1.200,1.200,1.200,1.200,1.200,1.200,410.0E-3,253.0E-6,264.4E-6
273.3E-12,1.200,1.200,1.200,1.200,1.200,1.200,420.0E-3,249.2E-6,260.4E-6
276.0E-12,1.200,1.200,1.200,1.200,1.200,1.200,428.5E-3,245.9E-6,257.0E-6
278.9E-12,1.200,1.200,1.200,1.200,1.200,1.200,437.9E-3,242.4E-6,253.3E-6
282.3E-12,1.200,1.200,1.200,1.200,1.200,1.200,449.0E-3,238.2E-6,248.8E-6
285.4E-12,1.200,1.200,1.200,1.200,1.200,1.200,458.8E-3,234.4E-6,244.9E-6
288.2E-12,1.200,1.200,1.200,1.200,1.200,1.200,467.9E-3,230.9E-6,241.3E-6
290.7E-12,1.200,1.200,1.200,1.200,1.200,1.200,475.6E-3,227.9E-6,238.1E-6
293.1E-12,1.200,1.200,1.200,1.200,1.200,1.200,483.5E-3,224.6E-6,234.6E-6
295.4E-12,1.200,1.200,1.200,1.200,1.200,1.200,490.7E-3,221.4E-6,231.3E-6
297.9E-12,1.200,1.200,1.200,1.200,1.200,1.200,498.4E-3,217.7E-6,227.5E-6
300.4E-12,1.200,1.200,1.200,1.200,1.200,1.200,506.4E-3,213.9E-6,223.5E-6
303.0E-12,1.200,1.200,1.200,1.200,1.200,1.200,514.4E-3,210.3E-6,219.6E-6
305.2E-12,1.200,1.200,1.200,1.200,1.200,1.200,521.4E-3,207.3E-6,216.5E-6
307.6E-12,1.200,1.200,1.200,1.200,1.200,1.200,529.0E-3,204.3E-6,213.4E-6
309.9E-12,1.200,1.200,1.200,1.200,1.200,1.200,536.1E-3,201.7E-6,210.6E-6
312.5E-12,1.200,1.200,1.200,1.200,1.200,1.200,543.9E-3,198.9E-6,207.7E-6
315.2E-12,1.200,1.200,1.200,1.200,1.200,1.200,552.2E-3,195.8E-6,204.5E-6
317.9E-12,1.200,1.200,1.200,1.200,1.200,1.200,560.7E-3,192.7E-6,201.2E-6
320.8E-12,1.200,1.200,1.200,1.200,1.200,1.200,569.5E-3,189.3E-6,197.7E-6
323.9E-12,1.200,1.200,1.200,1.200,1.200,1.200,578.9E-3,185.6E-6,193.8E-6
327.8E-12,1.200,1.200,1.200,1.200,1.200,1.200,590.6E-3,180.4E-6,188.4E-6
331.8E-12,1.200,1.200,1.200,1.200,1.200,1.200,602.8E-3,174.7E-6,182.4E-6
336.1E-12,1.200,1.200,1.200,1.200,1.200,1.200,615.6E-3,168.2E-6,175.7E-6
340.1E-12,1.200,1.200,1.200,1.200,1.200,1.200,627.5E-3,162.3E-6,169.4E-6
344.1E-12,1.200,1.200,1.200,1.200,1.200,1.200,639.3E-3,156.3E-6,163.2E-6
348.5E-12,1.200,1.200,1.200,1.200,1.200,1.200,652.3E-3,149.9E-6,156.5E-6
353.8E-12,1.200,1.200,1.200,1.200,1.200,1.200,667.7E-3,142.5E-6,148.7E-6
360.7E-12,1.200,1.200,1.200,1.200,1.200,1.200,687.5E-3,133.4E-6,139.2E-6
369.8E-12,1.200,1.200,1.200,1.200,1.200,1.200,713.1E-3,122.2E-6,127.6E-6
383.1E-12,1.200,1.200,1.200,1.200,1.200,1.200,749.9E-3,107.5E-6,112.2E-6
403.6E-12,1.200,1.200,1.200,1.200,1.200,1.200,803.8E-3,88.18E-6,92.02E-6
440.8E-12,1.200,1.200,1.200,1.200,1.200,1.200,892.6E-3,61.47E-6,64.11E-6
494.4E-12,1.200,1.200,1.200,1.200,1.200,1.200,996.8E-3,36.39E-6,37.92E-6
565.2E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.091,18.21E-6,18.94E-6
658.0E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.156,7.340E-6,7.606E-6
739.5E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.181,3.482E-6,3.597E-6
818.5E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.192,1.786E-6,1.840E-6
903.4E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.197,953.0E-9,980.6E-9
1.011E-9,1.200,1.200,1.200,1.200,1.200,1.200,1.199,503.8E-9,518.3E-9
1.153E-9,1.200,1.200,1.200,1.200,1.200,1.200,1.200,303.0E-9,312.1E-9
1.353E-9,1.200,1.200,1.200,1.200,1.200,1.200,1.200,214.8E-9,221.5E-9
1.654E-9,1.200,1.200,1.200,1.200,1.200,1.200,1.200,173.6E-9,178.6E-9
2.183E-9,1.200,1.200,1.200,1.200,1.200,1.200,1.200,130.7E-9,134.2E-9
